Age,Max Pushups
51,15
64,14
41,29
27,45
55,25
20,29
33,31
51,8
70,15
31,36
35,38
23,29
23,31
36,24
65,7
48,18
52,8
36,36
15,7
34,45
65,3
14,26
36,21
56,22
42,20
50,33
14,17
33,38
45,25
24,33
70,13
34,25
56,9
37,17
61,16
39,23
54,4
40,31
28,20
27,21
59,16
63,9
56,19
67,23
64,12
69,5
15,22
49,17
63,14
19,32
33,29
21,30
51,22
30,45
16,27
37,29
26,38
62,17
70,8
21,37
38,20
65,12
14,12
32,35
40,36
59,18
19,30
56,12
20,24
59,8
47,8
26,27
29,28
48,38
62,23
52,24
16,47
14,25
18,12
66,18
54,24
16,27
66,5
41,31
30,13
38,27
56,14
46,15
22,40
48,22
26,32
43,32
60,16
27,34
20,37
26,35
35,31
69,20
52,29
33,29
28,23
57,22
30,33
59,29
65,18
36,34
38,28
37,21
57,16
53,23
41,12
27,41
57,32
13,2
37,17
19,31
21,25
36,30
13,13
56,11
20,41
36,32
23,25
63,22
29,27
20,19
47,24
47,26
45,29
17,35
54,23
51,24
70,7
53,15
40,32
19,32
21,37
20,15
24,26
46,37
45,29
60,18
67,16
35,46
36,44
49,11
47,15
56,7
52,15
34,30
39,29
47,12
13,2
47,18
49,28
59,24
26,45
15,20
13,18
17,38
38,23
67,14
26,36
51,15
39,40
21,29
27,31
27,23
38,21
54,4
25,31
63,28
44,17
51,42
61,23
64,11
44,25
16,28
42,39
49,26
35,38
51,23
57,17
27,33
55,16
41,14
48,28
25,18
44,23
19,26
63,18
34,42
40,36
14,21
54,15
57,16
69,9
65,10
18,26
40,23
40,23
56,25
56,11
32,24
42,13
23,42
70,6
67,15
40,30
37,38
51,19
45,17
13,4
69,2
39,28
69,15
64,16
25,17
53,27
15,16
51,15
18,23
20,30
39,15
21,29
49,25
45,33
63,15
54,10
56,19
36,20
27,21
66,5
44,9
44,20
36,37
53,36
64,10
61,21
61,13
70,2
64,17
24,32
51,34
14,8
15,37
61,24
49,22
61,14
68,7
29,32
61,14
14,20
14,15
40,38
66,13
35,27
49,29
44,12
45,27
13,14
31,19
14,7
65,19
56,25
38,29
44,38
18,33
44,35
67,14
16,27
67,6
23,25
68,10
29,43
50,27
36,31
17,37
64,17
46,26
18,17
34,38
23,26
60,24
28,41
45,19
21,38
18,26
28,28
41,28
15,22
32,30
48,13
31,30
38,46
15,4
31,38
32,39
44,14
19,25
64,8
53,33
45,33
52,28
51,22
30,42
52,20
13,22
23,29
40,21
69,21
37,28
62,10
35,21
43,18
42,32
54,19
47,39
19,40
28,33
38,39
60,13
69,2
64,8
61,16
14,16
13,18
60,15
24,37
17,42
49,21
44,29
67,2
21,29
53,11
47,24
31,32
60,18
28,27
15,34
32,20
36,18
66,22
68,7
45,17
36,47
64,19
23,25
61,17
20,46
48,27
50,31
52,26
32,38
47,23
60,16
37,30
47,28
37,26
41,27
30,28
58,18
30,20
14,33
66,8
47,21
28,24
53,24
48,21
45,17
16,35
45,31
26,30
33,24
60,31
32,33
68,4
20,42
19,22
15,37
29,32
45,32
60,2
24,19
63,22
34,32
67,23
34,33
58,18
42,39
50,29
50,20
57,10
63,2
66,10
20,20
39,48
39,22
46,19
33,17
42,23
45,19
40,40
59,18
45,24
17,28
