Age,Max Pushups
39,37
32,36
41,25
50,15
31,35
31,32
51,26
42,29
28,39
39,21
28,41
28,31
36,44
18,23
18,45
27,31
22,24
37,22
24,27
18,33
50,24
31,24
34,27
18,49
28,45
35,31
21,30
38,27
27,35
30,20
27,27
54,5
33,32
22,35
43,20
20,44
36,16
18,16
19,32
36,36
42,38
35,23
32,38
30,29
18,28
26,37
28,35
45,9
37,39
18,42
37,21
29,33
26,34
40,27
45,18
44,17
24,29
30,40
37,31
44,20
28,36
31,5
21,40
20,14
42,21
48,13
33,17
45,33
37,22
26,33
37,26
50,24
33,29
51,10
18,38
43,19
34,14
30,26
35,40
18,37
31,26
37,23
50,18
28,48
25,33
28,33
44,32
37,28
28,27
39,24
35,27
44,23
26,36
30,30
29,36
18,29
37,27
36,10
34,35
31,32
18,38
29,3
30,48
25,28
32,38
38,17
54,22
35,18
36,21
33,44
18,28
33,30
34,35
61,17
31,30
37,29
33,49
21,29
46,24
42,33
42,33
23,40
49,25
18,19
40,39
58,7
23,32
27,23
35,27
28,32
18,32
34,31
22,44
39,29
23,27
51,27
25,40
30,18
42,29
20,36
36,24
48,31
18,28
36,28
36,25
42,24
20,20
19,17
39,39
37,19
36,18
37,8
26,24
36,16
37,40
26,39
54,13
39,45
20,38
41,22
23,7
42,44
46,12
24,15
44,32
38,47
43,35
54,22
31,34
25,37
24,36
25,32
33,29
37,26
37,20
43,21
34,13
49,20
31,21
63,6
40,27
24,42
22,38
39,12
31,21
41,33
39,17
33,26
24,34
18,21
29,30
43,12
36,22
20,32
35,14
38,30
24,29
35,32
34,30
21,42
37,27
40,21
45,24
45,27
18,30
23,30
39,19
39,20
39,14
70,19
40,14
46,17
44,17
41,32
30,27
42,35
25,23
31,31
28,22
34,46
59,6
18,32
41,30
18,33
28,28
45,22
34,28
22,28
26,38
41,43
25,24
36,15
34,27
26,53
57,10
40,39
18,45
36,22
26,35
43,37
25,26
32,27
39,21
43,15
20,24
30,18
28,30
26,23
53,20
38,13
20,32
44,30
57,3
45,26
18,41
28,19
47,34
26,33
38,20
42,24
23,35
33,29
18,34
22,21
31,30
20,17
51,19
18,21
29,23
35,38
49,29
18,35
46,14
34,25
23,40
39,27
36,47
27,33
34,29
29,27
35,28
41,23
51,25
20,38
57,10
18,18
32,13
40,29
37,17
27,10
31,32
28,52
27,29
43,31
37,27
26,29
43,31
37,24
42,26
40,28
24,23
27,38
42,23
40,19
33,33
35,20
48,21
27,29
40,34
31,33
31,29
46,28
43,35
42,29
48,21
34,17
41,15
30,27
37,21
32,27
35,28
40,30
24,29
57,20
22,30
20,12
46,15
42,23
40,15
40,30
33,41
24,40
34,26
26,43
44,24
32,26
24,24
30,27
38,23
27,31
24,31
36,27
36,31
28,40
28,38
36,14
18,7
18,38
26,17
31,27
37,16
50,6
43,28
32,35
33,23
22,6
33,24
30,33
37,14
24,31
39,25
50,24
32,30
38,18
41,35
29,28
36,27
34,20
35,23
25,22
34,26
39,40
49,10
44,9
57,27
25,28
43,18
36,36
58,11
25,46
24,36
27,25
18,49
28,24
25,36
35,30
37,37
54,30
44,23
27,23
24,34
39,20
19,48
54,19
46,19
28,31
18,17
48,14
32,39
47,17
18,20
27,34
34,38
34,34
29,38
40,19
22,17
32,41
35,25
39,23
41,36
21,35
18,34
48,37
37,21
25,38
51,20
35,30
46,34
34,32
56,21
53,26
31,26
44,16
41,16
49,6
23,48
41,15
45,21
18,27
20,32
18,37
31,36
41,20
50,19
34,30
51,18
18,44
18,34
33,34
38,32
33,38
18,31
33,17
19,33
41,19
38,21
23,35
28,41
22,30
33,31
44,38
23,32
39,48
28,35
25,14
32,35
22,33
27,41
20,36
55,16
34,17
26,28
36,20
32,24
31,34
40,39
42,27
28,19
27,34
30,40
18,24
18,28
49,21
52,13
31,35
40,24
37,30
67,5
46,19
32,35
23,26
18,45
36,23
25,32
18,38
26,17
22,14
52,7
43,34
33,23
50,39
34,23
24,31
50,32
39,43
22,48
31,39
24,39
18,35
44,30
55,13
18,22
40,25
26,28
28,25
27,36
24,38
34,28
24,43
36,17
33,27
31,23
24,13
27,29
42,23
39,38
23,35
35,19
42,40
18,40
39,30
26,27
40,17
25,26
18,39
18,46
34,41
36,23
24,19
41,26
18,14
33,31
20,28
26,25
34,14
24,34
29,25
45,13
27,4
43,23
21,45
39,40
49,17
18,24
25,34
40,17
31,32
38,32
27,41
34,27
32,27
46,16
36,20
37,24
29,33
28,38
29,22
38,39
29,27
37,26
56,11
43,3
30,37
47,27
29,27
18,30
22,34
18,15
30,25
34,34
52,9
37,29
31,18
43,28
18,29
36,13
42,34
18,23
46,16
37,28
29,40
40,16
58,16
36,30
36,33
28,31
24,26
43,17
24,30
34,19
28,3
39,29
37,34
45,3
28,20
31,34
23,48
29,30
38,20
42,23
23,42
43,18
48,15
38,22
54,11
25,31
20,44
18,32
50,18
41,22
33,15
37,34
21,29
60,13
35,54
35,30
41,18
39,22
36,37
25,31
39,13
54,25
48,16
51,33
28,39
23,25
32,39
34,28
46,29
18,34
50,14
32,23
29,39
22,26
18,26
43,16
34,31
19,48
19,20
30,30
52,29
31,28
18,34
31,20
31,33
18,28
33,37
31,39
41,47
54,22
46,25
31,31
21,26
62,15
34,25
34,29
33,39
36,18
32,38
27,41
27,28
33,10
28,24
26,41
35,27
31,21
50,16
18,37
46,26
47,20
18,26
30,26
29,21
18,44
25,27
21,40
53,30
44,32
47,18
41,28
21,29
28,21
39,28
20,19
41,35
31,25
29,31
41,27
38,24
30,35
46,19
22,37
40,14
40,26
30,47
37,18
20,23
44,28
31,31
28,33
45,27
26,35
18,39
18,33
40,23
19,36
53,33
18,28
52,12
36,36
32,28
28,10
38,33
33,24
46,22
35,30
35,29
30,36
33,24
37,31
18,27
19,36
42,29
35,19
31,38
34,23
37,33
28,33
25,46
36,25
23,26
38,26
18,27
45,30
39,12
36,18
44,14
52,26
45,37
18,29
19,28
27,30
34,38
39,18
26,32
36,35
25,34
27,31
18,39
23,5
19,36
23,24
45,7
23,34
62,22
39,24
36,35
24,44
41,36
27,44
35,34
62,14
32,15
46,20
26,22
33,47
53,17
27,31
53,22
41,25
27,45
40,20
44,25
40,19
18,18
26,24
31,29
33,25
40,19
35,15
19,29
38,13
40,31
40,26
45,10
43,21
39,19
33,31
18,42
38,10
36,28
36,25
19,36
22,31
45,16
33,25
41,18
34,37
34,28
44,39
28,29
35,21
28,16
29,13
30,15
36,29
28,34
47,10
24,38
31,25
29,31
49,33
36,34
45,20
18,21
36,9
43,18
34,26
45,14
28,28
49,21
59,13
30,24
29,31
49,24
51,11
28,42
29,29
30,30
19,36
23,32
22,38
25,32
33,23
36,30
51,11
23,30
44,23
31,27
33,27
41,9
21,25
38,27
35,29
39,17
37,37
61,9
26,38
28,33
27,24
27,45
26,19
47,29
49,28
27,23
24,42
39,23
27,32
40,27
36,26
18,37
51,25
53,5
27,41
29,15
37,35
37,36
41,15
56,14
32,19
25,28
18,27
25,37
33,39
53,29
28,24
36,25
33,14
47,16
61,20
28,44
28,18
45,18
41,24
54,20
40,18
30,33
40,21
46,22
43,28
39,26
45,19
46,21
49,20
41,21
32,26
35,41
47,26
25,27
38,32
29,26
34,38
48,24
36,26
34,32
19,15
42,15
41,14
57,17
30,45
36,46
36,32
51,23
32,13
37,22
40,18
36,22
29,28
36,23
45,6
22,36
35,18
26,32
47,37
18,21
27,7
38,23
51,28
33,45
27,18
54,22
18,25
18,29
38,48
28,16
22,32
41,29
36,36
27,30
19,32
43,20
41,27
32,26
54,22
22,26
18,33
26,29
33,38
36,26
31,14
37,37
20,21
49,16
33,23
46,33
37,8
39,52
40,34
38,28
41,24
48,23
36,31
41,30
33,33
49,21
26,28
53,17
33,26
18,40
35,32
26,3
43,29
26,31
29,29
18,26
29,40
18,38
18,23
42,28
42,16
38,14
23,24
33,35
33,36
21,34
50,25
43,28
31,24
34,31
36,34
18,36
31,39
26,36
22,33
30,39
53,18
41,17
27,28
40,19
